aachen;akwizgran,
kommando;komenda,oddzia³,dowództwo
kommen;przyjœæ,przychodziæ,kminek (przyprawa),kminek zwyczajny
kommend;przysz³y
kommerziell;komercyjny
kommune;komuna
kompaß;kompas
kompilirer;kompilator
komplett;kompletny
komplott;spisek,zmowa
komponieren;komponowaæ
kompott;kompot
kompromiß;kompromis
kompromittieren;kompromitowaæ
komputer;komputer
kondensiert;skondensowany
kondom;prezerwatywa,kondom
konfigurieren;konfigurowaæ
konfirmation;konfirmacja
konfiszieren;konfiskowaæ
konfus;zmieszany,zak³opotany,niejasny,niezrozumia³y
könig;król
königlich;królewski
königshütte;chorzów
königwasser;woda królewska
konitz;chojnice
konjugieren;koniugowaæ,odmieniaæ przez osoby
konjunktiv;tryb warunkowy,czasownik w formie trybu warunkowego
können;móc,umieæ,znaæ,potrafiæ
konsens;konsensus
konserve;konserwa
konsole;konsola
konsonant;spó³g³oska
konstruktion;konstrukcja,konstruowanie,planowanie,konstrukcja,wykreœlanie figury geometrycznej,konstrukcja (zdaniowa)
konsul;konsul
kontinent;kontynent
kontrakt;kontrakt,umowa
kontrolle;kontrola
konzern;koncern
konzert;koncert
konzertieren;koncertowaæ
konzertkarte;bilet na koncert
konzessivsatz;zdanie okolicznikowe przyzwalaj¹ce
koordination;koordynacja
koordinieren;koordynowaæ
kopenhagen;kopenhaga
kopf;g³owa'kopfsalat,g³owa
kopfsalat;sa³ata g³owiasta
kopfweh;ból g³owy
kopieren;kopiowaæ
korb;kosz,koszyk,taka iloœæ czegoœ jaka mieœci siê w koszu,odmowa,faszyna,gondola (kosz) zawieszana pod balonem,maska szermiercza,os³ona twarzy w szermierce,koszyczek (typ kwiatostanu groniastego)
korkenzieher;korkoci¹g
kosten;kosztowaæ
kotzen;rzygaæ
kotzenau;chocianów
kraft;si³a,na mocy,z tytu³u
kraftfahrzeug;pojazd mechaniczny
kraftstoff;paliwo,benzyna
kraftwerk;elektrownia
krähe;wrona
krakau;kraków
krank;chory,niedorzeczny
kranken;chorowaæ
krankenhaus;szpital
krankhaft;chorobliwy
krankheitsattest;zwolnienie lekarskie
krankschreiben;wypisywaæ zwolnienie lekarskie
krater;krater
kratzwurm;kolcog³ów
krauter;zio³owy
krebs;rak,rak (astron.)
kreis;ko³o,kó³ko,obwód,powiat
kreuz;krzy¿
kreuzung;skrzy¿owanie
krieg;wojna
krieger;wojownik
kriminalist;funkcjonariusz policji kryminalnej,policjant z wydzia³u œledczego
kritik;krytyka
kroatien;chorwacja
krokodil;krokodyl
krokus;krokus,kwiat krokusa
krone;korona
kröte;ropucha
krotoschin;krotoszyn
krypton;krypton (pierwiastek chemiczny)
kuckuck;kuku³ka,diabe³ (w wyra¿eniach)
kuddelmüddel;ba³agan
kübel;kube³,wiadro
küche;kuchnia
küchen;kuchenny
kühlschrank;lodówka
kürbis;dynia (roœlina),dynia
kugelschreiber;d³ugopis
kuh;krowa,przezwisko,krowi
kukuruz;kukurydza
kultur;kultura
kundenkarte;karta sta³ego klienta
kunst;sztuka,kunszt
kunstwerk;dzie³o sztuki
kupfer;miedŸ (pierwiastek chemiczny)
kupfern;miedziany
kupferrot;miedziany (o kolorze)
kupplung;sprzêg³o
kurz;krótki,py³ powsta³y ze sproszkowanych ziarenek piasku,py³ z ziemi
kurzschlußleistung;moc zwarciowa
kutte;habit,kurtka z kapturem
kuwait;kuwejt
labyrinth;labirynt
lachen;œmiaæ siê
lachs;³osoœ
lack;lakier
laden;sklep
lagebericht;sprawozdanie
lager;magazyn,sk³ad,obóz (mil.),³o¿ysko (tech.),obóz
lagerung;sk³adowanie,magazynowanie
lahm;kulawy,kiepski
laib;bochenek
laie;laik
laizismus;laicyzm
laizistisch;laicki
laken;przeœcierad³o
lallen;be³kotaæ
lammfleisch;jagniêcina
lampe;lampa
lampenschirm;aba¿ur,klosz
land;ziemia,l¹d,kraj,sta³y l¹d,grunt,dzia³ka,grunt rolny,wieœ
landauf;landab,w ca³ym kraju,po ca³ym kraju
landschaft;krajobraz,pejza¿
landstrasse;droga,goœciniec
lang;d³ugi,bardzo,o wiele
langfristig;d³ugoterminowy,d³ugoterminowo
längs;wzd³u¿
langsam;powoli,wolno
lanthan;lantan (pierwiastek chemiczny)
laptop;laptop
laser;laser
lassen;zostawiaæ,wpuszczaæ,puszczaæ,pozwalaæ,daæ
laster;ciê¿arówka,na³óg
lastkraftwagen;samochód ciê¿arowy
last-minute-reise;podró¿ z oferty „last minute"
latein;³acina
lateinamerikanisch;latynoamerykañski
lateinisch;jêzyk ³aciñski,³acina,³aciñski
laterne;latarnia
laternenpfahl;s³up latarniowy
latschen;papeæ,wlec siê,³aziæ
latte;listwa,poprzeczka
lattenzaun;p³ot sztachetowy
lätzchen;œliniaczek
latzhose;ogrodniczki
lau;letni,ciep³awy
laub;liœæ,liœcie (opad³e),listowie
laubbaum;drzewo liœciaste
laube;altanka
laubsäge;wyrzynarka
laubwald;las liœciasty
lauch;por
lauchen;p³akaæ
lauern;czatowaæ,czaiæ siê,czyhaæ
lauf;bieg,lufa
laufbahn;kariera,bie¿nia
laufbursche;ch³opiec na posy³ki
laufen;biegaæ,pêdziæ,biec,iœæ,lecieæ (o filmie),pracowaæ (o motorze),ci¹gn¹æ siê
laufer;biegacz,laufer
läufer;biegacz,pomocnik (futbol),goniec (laufer),wirnik,rotor,dywanik
lauferei;bieganina
laufkundschaft;przygodna klientela
laus;wesz
laut;g³oœny,wed³ug,wedle
lava;lawa
lavabo;umywalka
lawrencium;lorens (pierwiastek chemiczny)
layout;uk³ad graficzny
lay-out;uk³ad graficzny
leben;¿yæ,¿ycie
lebenslustig;niefrasobliwy
lebensversicherung;ubezpieczenie na ¿ycie
leber;w¹troba,w¹tróbka
leberwurst;kiszka w¹trobiana,pasztetówka
lebkuchen;piernik
leblos;nie¿ywy,bez ¿ycia
leder;skóra (materia³)
lediglich;tylko,wy³¹cznie
legendär;legendarny
leger;swobodny
legion;legion
lehren;uczyæ,nauczaæ
lehrer;nauczyciel
lehrerin;nauczycielka
lehrnen;uczyæ
leicht;lekki,³atwy
leider;niestety
leihen;po¿yczaæ
leipzig › lipsk;
leipzig;lipsk
leisten;kopyto
leistungspflicht;obowi¹zek œwiadczenia
leiten;kierowaæ kimœ,czymœ,przewodziæ
leitend;czo³owy,przewodni
leiter;dyrektor,kierownik,drabina
lektion;lekcja,rozdzia³ w podrêczniku,nauczka,lekcja
lemberg;lwów
lende;kulin. kulinaria polêdwica
leopard;lampart
lepra;tr¹d
lernen;uczyæ siê
lesen;czytaæ,wyczytaæ
lesung;czytanie (ustawy),wieczór autorski,czytanie (wymowa) znaku
lettland;³otwa
letzt;ostatni
letzter;ostatni,ubieg³y
leuchten;œwieciæ
leute;ludzie
leutnant;podporucznik
level;poziom (w grach komputerowych)
libelle;wa¿ka
licht;œwiat³o,jasnoœæ,elektrycznoœæ
lieb;mi³y,drogi
liebe;mi³oœæ,uwielbienie
lieben;kochaæ,kochaæ siê,uwielbiaæ,kochaæ siê (kopulowaæ)
liebhaber;mi³oœnik,entuzjasta,kochanek
lieblingsgruppe;ulubiony zespó³
lieferant;dostawca
liegen;le¿eæ
liegestuhl;le¿ak
liegnitz;legnica
lift;winda,dŸwig
light;zapalaæ,zaœwiecaæ,œwiat³o,jasny (o œwietle),jasny (o kolorze),lekki
lila;liliowy
limit;limit
limo;lemoniada
linde;lipa
linie;linia
link;link (inform.)
links;lewy
linkshänder;mañkut
linse;soczewka,soczewica
lippe;usta
list;podstêp,chytroœæ
litauen;litwa
liter;litr
literatur;literatura
litfaßsäule;s³up reklamowy
lithium;lit (pierwiastek chemiczny)
livesendung;emisja na ¿ywo
lizenz;licencja
lkw;samochód ciê¿arowy
löcher in den bauch fragen;wierciæ dziurê w brzuchu
locken;wabiæ,nêciæ
locker;luŸny,pulchny,lekki,luŸno
lockern;poluzowaæ,luzowaæ,popuszczaæ,spulchniæ
lockig;kêdzierzawy
lodern;p³on¹æ silnym p³omieniem,pa³aæ
löffel;³y¿ka
löffeln;jeœæ ³y¿k¹
loge;lo¿a
logik;logika
login;zalogowanie siê
logisch;logiczny,logicznie
logoff;wylogowanie siê
lohn;p³aca,wynagrodzenie
lohnabbau;redukcja p³ac
lohnen;op³acaæ siê
lohnend;op³acalny,wart zachodu
lohnenswert;rentowny,op³acalny,wart zachodu
lohnerhöhung;podwy¿ka pensji
lohnsteuer;podatek od wynagrodzeñ
lokal;lokal
lokaler;lokalny
london;londyn,londyñski
lorbeer;wawryn,drzewo laurowe,liœæ laurowy,wawrzyn,laur
lorbeerbaum;drzewo laurowe,wawrzyn szlachetny
los;wolny,luŸny,swobodnie,los,przenaczenie
lösbar;rozpuszczalny
löwe;lew,lew (gwiazdozbiór),lew (zodiak)
löwen;lwi
löwin;lwica
loyalität;lojalnoœæ
luder;³achudra
lücke;luka,szpara,szczelina
lückenhaft;niepe³ny,niekompletny,po³owiczny,urywkowy
lüftchen;wiaterek,wietrzyk
lüge;k³amstwo
lügner;k³amca,³garz
lüttich;liege (miasto),liege (prowincja)
luft;powietrze,oddech,bryza
luftabwehr;obrona przeciwlotnicza
luft-boden-rakete;pocisk powietrze-ziemia
luftdicht;szczelny,hermetyczny
luftfahrtindustrie;przemys³ lotniczy
luftfeuchtigkeit;wilgotnoœæ powietrza
luftfilter;filtr powietrza
lufthoheit;suwerennoœæ obszaru powietrznego
luftmatratze;materac nadmuchiwany
lunch;lunch
lunge;p³uco
lungenentzündung;zapalenie p³uc
lungenkrebs;rak p³uc
lust;ochota,¿¹dza,po¿¹danie
lustlos;ospa³y,niechêtny
lustspiel;komedia
lutetium;lutet (pierwiastek chemiczny)
luxemburg;luksemburg
lynchen;linczowaæ
lyzeum;liceum
mach schnell!;poœpiesz siê!
machen;robiæ,produkowaæ,wytwarzaæ,sprawiaæ,odbywaæ,robiæ,zabieraæ siê
mädchen;dziewczyna w znaczeniu (m³oda kobieta),dziewczyna  (archaizm),sympatia,przyjació³ka,pokojówka,dziewczynka
madeira;madera
magister;magister
magma;magma
magmakammer;komora wulkaniczna
magnesium;magnez
magnet;magnes
mahlzahn;z¹b trzonowy
mahlzeit!;smacznego!
mahlzeit;posi³ek,smacznego
mähren;morawy
mai;maj
mais;kukurydza
makler;makler,poœrednik
makrele;makrela
malaria;malaria
malen;malowaæ
maler;malarz
mammut;mamut
man;osoba,cz³owiek,mê¿czyzna,pionek w szachach
manager;mened¿er
mandarine;mandarynka
mandel;migda³,migda³ek
mandelbaum;migda³owiec
mangan;mangan (pierwiastek chemiczny)
mangels;z braku
mango;mango
mann muss;trzeba
mann;cz³owiek,mê¿czyzna,m¹¿
mannequin;modelka
mannhaft;mê¿ny
mannschaft;dru¿yna,ekipa,za³oga
manometer;manometr
mantel;p³aszcz,powierzchnia boczna
mappe;teczka
marginal;marginalny,marginesowy,znikomy,drugoplanowy
marienburg;malbork,zamek w malborku
marienkäfer;biedronka
marienwerder;kwidzyn
marihuana;marihuana
marille;morela
mark;marka
markt;rynek,market
mars;rzymski bóg wojny,mars (mitologia),mars
marz;marzec
märz;marzec
maschine;maszyna
maschinenkanone;armata automatyczna
maschinenpistole;pistolet maszynowy
maßgeblich;miarodajny,w du¿ej mierze
maßstab;skala
material;materia³
materiell;materialny
mathematiker;matematyk
mathematisch;matematyczny
matratze;materac
matrix;macierz
matschwetter;chlapa,plucha
matte;mata,plecionka
mattigkeit;zmêczenie,s³aboœæ
mauer;mur
mauern;murowaæ
mauersee;mamry
maulbeerbaum;morwa
maulkorb;kaganiec
maultier;mu³
maul-und-klauenseuche;pryszczyca
maulwurf;kret
maulwurfsgrille;turkuæ
maulwurfshügel;kretowisko
maurerhandwerk;murarstwo
maurerkelle;kielnia murarska
maus;mysz (gryzoñ),mysz,myszka komputerowa
mäuschenstill;cichutki jak mysz
mauspad;podk³adka pod mysz (inform.)
maya;liczba jeden
medizin;medycyna
meer;morze
meeresspiegel;poziom morza
meerrettich;chrzan
mehl;m¹ka
mehr denn je;wiêcej ni¿ kiedykolwiek
mehr;wiêcej,bardziej
mehrwertsteuer;podatek od wartoœci dodanej,podatek vat
mein;szkoda,krzywda,choroba,schorzenie
meine vorname ist;moje imiê to
meineid;krzywoprzysiêstwo
meistbegünstigungsklausel;klauzula najwy¿szego uprzywilejowania
meister;mistrz,majster
meitnerium;meitner (pierwiastek chemiczny)
melanzani;bak³a¿an
meldung;meldunek,doniesienie
melodie;melodia
melone;melon
memel;niemen
mendelevium;mendelew (pierwiastek chemiczny)
menge;iloœæ,liczba,mnóstwo,wiele,du¿a iloœæ,t³um,ci¿ba,zbiór
mensa;sto³ówka
mensch;cz³owiek (jako gatunek),cz³owiek,cz³owieku
menü;menu
meridian;po³udnik
merkur;merkury
merkwürdig;dziwny
messer;nó¿
meteorit;meteoryt
meter;metr
metöke;metojk
metro;metro
metropole;metropolia
miauen;miauczeæ
mietvertrag;umowa najmu
migräne;migrena
mikrofon;mikrofon
mikrophon;mikrofon
milan;mediolan
milch;mleko
milchstraße;droga mleczna
milchsuppe;zupa mleczna
milde;³agodny
million;milion
mineralwasser;woda mineralna
minister;minister
minuend;odjemna
minute;minuta
minze;miêta
mio.;milion
mir;pokój (polit.)
mischwald;las mieszany
mit demselben zug fahren;jechaæ tym samym poci¹giem
mit etw. anfangen;zaczynaæ,rozpoczynaæ,zaczynaæ siê
mit ihm;z nim
mit ihnen;z nimi
mit ins grab nehmen;zabraæ ze sob¹ do grobu,nigdy nie wyjawiæ
mit sahne;ze œmietan¹
mit;z,ze,baœñ,stara opowieœæ fantastyczna,fa³szywy pogl¹d o czymœ
mitarbeit;wspó³praca
mitarbeiten;wspó³pracowaæ
mitarbeiter;wspó³pracownik,pracownik
mitarbeiterin;wspó³pracowniczka,pracowniczka
mitglied;cz³onek
mitkommen;towarzyszenie,towarzyszyæ,iœæ,jechaæ gdzieœ razem
mitmachen;wspó³praca,branie udzia³u,braæ udzia³
mittag;po³udnie
mittagessen;obiad
mittel;œrodek
mittelalter;œredniowiecze
mittelalterlich;œredniowieczny,dotycz¹cy œredniowiecza,zacofany,staroœwiecki,nienowoczesny
mittelhochdeutsch;jêzyk œrednio-wysoko-niemiecki
mittelmeer;morze œródziemne
mittelpolen;œrodkowa polska
mittelpolnisch;œrodkowopolski
mittelrippe;g³ówna ¿y³ka liœcia
mittels;przy pomocy
mittwoch;œroda
möbel;mebel
modem;modem
modern;nowoczesny
moderner;nowoczesny
modisch;modny
modul;modu³ (inform.),modu³
modus;tryb
mögen;lubiæ,ja chcia³bym,chcia³abym
möglich;mo¿liwy,mo¿liwie
möglichkeit;mo¿liwoœæ
möhre;marchew,marchewka
moin;czeœæ
mole;molo
molekül;cz¹steczka
möllen;chcieæ
molotowcocktail;koktajl mo³otowa
molybdän;molibden (pierwiastek chemiczny)
moment;moment,moment,chwila
monat;miesi¹c
mönch;mnich
mond;ksiê¿yc
monitor;monitor
monophysitismus;monofizytyzm
monotheismus;monoteizm
monster;potwór
montag;poniedzia³ek
montenegro;czarnogóra
montreal;montreal
moosbeere;¿urawina
moral;mora³,moralnoœæ
mord;morderstwo
morden;mordowaæ
mörder;morderca
morgen;rano,ranek,poranek,jutro,morga,dobry
morgendämmerung;brzask
morgenessen;œniadanie
morgenmantel;szlafrok,podomka
morphologie;morfologia
morphologisch;morfologiczny
moskau;moskwa
motel;motel
möwe;mewa
mücke;komar
müde;zmêczony
müller;m³ynarz
mümze;moneta
münchen;monachium
münster;katedra
münze;moneta,mennica
mürbe;kruchy
müssen;musieæ
mütze;czapka
muhen;ma³y
muhle;m³yn
mulde;wg³êbienie,wklês³oœæ
mull;œmieci
mullkasten;œmietnik
multiplikation;mno¿enie
multiplizieren;mno¿yæ
mumie;mumia
mund;usta,buzia
munition;amunicja
mus;mus,przecier
muschel;ma³¿,muszla
museum;muzeum
musik;muzyka,muzyczny
musikalisch;muzykalny
musiker;muzyk
muskel;musku³,miêsieñ
mut;odwaga,mêstwo
mutter;matka,nakrêtka
mythos;mit
nabel;pêpek
nabelschnur;pêpowina
nach canossa gehen;pójœæ do canossy
nach jeden verrückt sein;szaleæ za kimœ
nach osten;na wschód
nach verrückt sein;mieæ bzika na punkcie
nach;na,w kierunku,do,po,wed³ug,pod³ug
nachbar;s¹siad
nachbarin;s¹siadka
nachfrage;ekon. popyt
nachher;potem
nachmittag;popo³udnie
nachname;nazwisko
nachrichtendienst;s³u¿ba informacyjna,wywiad,biuro ³¹cznoœci
nacht;noc
nachteil;wada
nachtessen;kolacja
nachtisch;deser
nachträglich;dodatkowy,póŸniejszy,spóŸniony
nachwelt;potomnoœæ
nacken;kark
nadelbaum;drzewo iglaste
nadelwald;las iglasty
nagel;gwóŸdŸ,paznokieæ
nagelfeile;pilniczek do paznokci
nahe;blisko
nähen;szyæ
nahrung;¿ywnoœæ,po¿ywienie,jedzenie
name;imiê,nazwisko
namens;o nazwie,nazwiskiem
nase;nos
nashorn;nosoro¿ec
nässe;wilgoæ
nati;dru¿yna narodowa
national;narodowy
natrium;sód (pierwiastek chemiczny)
natron;soda oczyszczona
natürlich;oczywiœcie
natural;naturalny
naturlich;naturalnie
nebel;mg³a,mg³awica
nebelregennegerleben;palindrom pozbawiony sensu
neben;obok,obok (s³u¿¹cy do okreœlania po³o¿enia)
nebenkrater;krater paso¿ytniczy
nebensatz;zdanie podrzêdne
neblig;mglisty
nebst;razem z
nechste;nastêpny,kolejny
neffe;bratanek,siostrzeniec
negation;przeczenie
nehmen;braæ,zajmowaæ
nehrung;mierzeja
neid erwecken;budziæ zazdroœæ
neid;zazdroœæ,zawiœæ
neigung;pochylenie,sk³onnoœæ
nein;nie,nie (u¿ywany w odpowiedziach)
neiße;nysa
nektarine;nektarynka
nenner;mianownik
neodym;neodym (pierwiastek chemiczny)
neolithikum;neolit
neon;neon (pierwiastek chemiczny)
nepal;nepal
neptun;neptun (mit.)
neptunium;neptun (pierwiastek chemiczny)
nesseltier;parzyde³kowiec
nett;mi³y
netzwerk;sieæ
neu;nowy,œwie¿y
neubraunschweig;nowy brunszwik
neuheit;nowoœæ
neuigkeit;nowoœæ,nowinka
neulich;ostatnio
neun;dziewiêæ,9,godzina dziewi¹ta
neunte;dziewi¹ty
neunzehn;dziewiêtnaœcie
neunzehnte;dziewiêtnasty
neunzig;dziewiêædziesi¹t
neuschottland;nowa szkocja
neutron;neutron
new orleans;nowy orlean
new york;nowy jork
nich;nie
nicht;nic,nie,nikt
nichtig;b³ahy,niewa¿ny (prawn.)
nichts;nic
nickel;nikiel (pierwiastek chemiczny)diabe³ek (archaizm),urwis,³obuz
nie wieder;nigdy wiêcej
nie;nigdy
nieder;dolny,niski
niederländisch;niderlandzki,holenderski
niemand mehr;ju¿ nie - dziêkujê
niemand;nikt
niere;nerka
niesen;kichaæ
niet;nit
nilpferd;hipopotam
niob;niob (pierwiastek chemiczny)
nirgendwo;nigdzie
nische;wnêka
nisten;gnieŸdziæ siê
niveau;poziom
nixe;rusa³ka,nimfa wodna
nö;nie
nobelium;nobel (pierwiastek chemiczny)
noch mal;jeszcze raz
noch nicht;jeszcze nie
noch;jeszcze
nominativ;mianownik
norden;pó³noc
nördlich;pó³nocny
norm;norma,normatyw
normal;normalny,zwyk³y
normalerweise;zwykle
normalisieren;normalizowaæ
norwegen;norwegia
norwegisch;norweski,norweski
nostalgie;nostalgia
not;niebezpieczeñstwo,potrzeba,bieda
notar;notariusz
notariell;notarialny
notaufnahme;oddzia³ pierwszej pomocy
notfall;nag³y przypadek
nötig;potrzebny,konieczny,koniecznie
notiz;notatka
notizbuch;notes,notatnik
november;listopad
nuda;bezramieniowe
nudel;makaron
nudist;nudysta
nüchtern;trzeŸwy,na czczo,rozs¹dny,trzeŸwo myœl¹cy
nür;dla
null;zero,nazwa cyfry 0,0
nullmeridian;po³udnik zerowy
numerieren;numerowaæ
nummer;numer,liczba,numer telefonu,numer (czasopisma),wydanie
nuss;orzech (owoc)
nuß;orzech (owoc)
nylon;nylon
nylons;nylony,poñczochy
oase;oaza
ob;czy,niezale¿nie,czy
obdach;dach nad g³ow¹,schronienie
obdachlos;bezdomny
ober;kelner,karta do gry - odpowiednik damy,górny,wierzchni,starszy
obere;górny,wierzchni,starszy
oberförster;nadleœniczy
obergeschoß;piêtro
oberhalb;powy¿ej,ponad,ponad
obermenge;nadzbiór
oberst;pu³kownik
obig;powy¿szy,wy¿ej wymieniony
oboe;obój
obst;owoce
obszön;obsceniczny,sproœny
obus;trolejbus
obwohl;chocia¿,choæ,mimo ¿e
occasion;okazja
ochse;wó³,tuman,cep
ödem;obrzêk
oder;lub,odra,albo,lub (w logice),czy
ofen;piec
offen;otworzyæ,otwarty,otwieraæ
offene handelsgesellschaft;spó³ka jawna
offensiv;ofensywny
offensive;ofensywa
offerte;oferta
offizier;oficer
öffnen;otwieraæ
offside;spalony
oheim;stryjek
ohm;om
ohr;ucho,uszny
ohrenqualle;che³bia modra
ohrfeige;policzek
ökoladen;sklep ze zdrow¹ ¿ywnoœci¹
ökologie;ekologia
ökologisch;ekologiczny,ekologicznie
oktober;paŸdziernik
ökumenisch;ekumeniczny,ekumenicznie
okzitanisch;jêzyk prowansalski
olive;oliwka
olympisch;olimpijski
oma;babcia
onkel;wujek
opa;dziadek
oper;opera
operation;operacja chirurgiczna,operacja,dzia³anie,akcja,dzia³anie
opfer;ofiara
optimismus;optymizm
optimist;optymista
optisch;optyczny
orange;pomarañcza (owoc),oran¿,kolor pomarañczowy,pomarañcza,pomarañczowy (kolor),pomarañczowy
orangensaft;sok pomarañczowy
orang-utan;orangutan
orbit;orbita
orchester;orkiestra
ordentlich;porz¹dny
ordner;segregator,porz¹dkowy (osoba),folder (inform.)
ordnungszahl;liczba porz¹dkowa,liczba atomowa,liczebnik porz¹dkowy
orgasmus;orgazm
orgie;orgia
orient;wschód
original;orygina³
orkan;huragan
ort;miejsce,miejscowoœæ
ortsfremd;nietutejszy,obcy
ortsteil;dzielnica
osmium;osm (pierwiastek chemiczny)
ost;wschód,wschodni
ostbeskiden;bieszczady
osten;wschód
osteoblast;osteoblast,komórka koœciotwórcza
osterhase;zaj¹czek wielkanocny
österreich;austria
ostpolnisch;wschodniopolski,kresowy
oval;owal,owalny
oxydieren;utleniaæ
paddelboot;kajak
pakistan;pakistan
palais;pa³ac
paläolithikum;paleolit
palast;pa³ac
palladium;pallad (pierwiastek chemiczny)
panda;panda
pandeismus;pandeizm
panisch;paniczny
panne;awaria
pantheismus;panteizm
panther;pantera
panzerabwehrkanone;dzia³o przeciwpancerne
panzerbüchse;karabin przeciwpancerny
panzerkampfwagen;czo³g
papier;papier,papier (arkusz),papier (dokument)
pappel;topola
paprika;papryka
papst;papie¿
papyrus;papirus (materia³),papirus (roœlina - cibora papirusowa),dokument spisany na papirusie w staro¿ytnym egipcie
paradeisapfel;pomidor
paradeiser;pomidor
parallel;równoleg³a,równole¿nik,odpowiednik,paralela,równoleg³y,podobny,równoczesny,równoleg³y,równolegle,dorównywaæ
paris;pary¿
park;park
parken;parkowaæ,zaparkowaæ
parkplatz;parking
parole;has³o
partnerschaftsgesellschaft;spó³ka partnerska
paschen;przemycaæ
pascher;przemytnik
paßamt;biuro paszportowe
passant;przechodzieñ
paßbild;zdjêcie legitymacyjne
paste;pasta
pastete;pasztecik,pasztet
pasteurisieren;pasteryzowaæ
paul;pawe³
pech;pech
pelikan;pelikan
pendant;odpowiednik
pension;emerytura (stan spoczynku) urzêdnika pañstwowego,emerytura (wyp³acane pieni¹dze) urzêdnika pañstwowego
pentagon;piêciok¹t,pentagon
perfekt;czas przesz³y prosty
periodensystem;uk³ad okresowy
periöke;periojk
periphrase;peryfraza
perkussionsrevolver;rewolwer kapiszonowy
perle;per³a
perplex;os³upia³y
perron;peron
person;osoba
personal;osobisty,personalny
personengesellschaft;spó³ka osobowa
personenkraftwagen;samochód osobowy
persönlich;osobisty,prywatny,do r¹k w³asnych
pessimismus;pesymizm
pessimist;pesymista
peter;piotr
petersilie;pietruszka
petrochemie;petrochemia
petroleumlampe;lampa naftowa
petrus;piotr
petze;skar¿ypyta
petzen;skar¿yæ,donosiæ
peu a peu;powoli,stopniowo
pfanne;patelnia
pfannkuchen;naleœnik,p¹czek
pfeffer;pieprz
pfeiler;kolumna,filar,s³up
pferd;koñ
pferdebohne;bób
pfifferling;kurka
pfirsich;brzoskwinia
pflanze;roœlina
pflaume;œliwa,œliwka
pflege;opieka,pielêgnacja,higiena
pflicht;obowi¹zek
phantastisch;fantastyczny
philologe;filolog
philosophie;filozofia
phobos;fobos,ksiê¿yc marsa
phosphor;fosfor (pierwiastek chemiczny o symbolu p i liczbie atomowej 15
physik;fizyka
physiker;fizyk
pi mal daumen;mniej wiêcej,pi razy drzwi
pianist;pianista
pianistin;pianistka
piercing;kolczyk
piet;piotr
pieter;piotr
piezoelektrizität;piezoelektrycznoœæ
pikant;pikantny
pilot;pilot (samolotu),pilot
pilz;grzyb
pilze;grzyb
pinguin;pingwin
pink;mocno ró¿owy kolor,ró¿,kolor ró¿owy,mocno ró¿owy
piranha;pirania
pistazie;pistacja (drzewko),pistacja
pistole;pistolet
pizza;pizza
plagen;nêkaæ
plakat;plakat,afisz
plakette;plakietka
plan;plan
planen;planowaæ,zamierzaæ,planowaæ,projektowaæ,szkicowaæ
planet;planeta
planschbecken;brodzik
plantage;plantacja
plappern;paplaæ
platin;platyna (pierwiastek chemiczny)
platt;p³aski
platte;p³yta
plattwurm;p³aziniec
platz;plac,miejsce,wolna przestrzeñ,wolne miejsce,boisko,pozycja,miejsce siedz¹ce
platzangst;lêk przestrzeni,agorafobia
plausch;gawêda
pleite;plajta
plündern;pl¹drowaæ
plug-in;wtyczka (inform.)
pluto;pluton
plutonismus;plutonizm
plutonium;pluton (pierwiastek chemiczny)
po;pupa
pokal;kufel,pokal,puchar (trofeum)
pokern;graæ w pokera
polarkreis;ko³o podbiegunowe
pole;polak,polska
polemisch;polemiczny
polen;polska
polier;majster,brygadzista
polin;polka
politik;polityka
politiker;polityk
politur;politura
polizei;policja
polizist;policjant
polnisch;polski,jêzyk polski,polszczyzna
polnische wirtschaft;polska gospodarka,ba³agan,bajzel
polonium;polon (pierwiastek chemiczny)
polster;poduszka
polyp;polip,polip
polytheismus;politeizm
pommern;pomorze
pommes frites;frytki
pommes;frytki
ponton;ponton
pony;grzywka,kucyk
pop;muzyka pop
popcorn;popcorn
popmusik;muzyka pop
porree;por
portion;porcja
porträt;portret
portugal;portugalia
posen;poznañ
post scriptum;post scriptum
post;poczta
postalisch;pocztowy
poster;plakat
postomat;bankomat
postum;poœmiertny
potsdam;poczdam
pottasche;pota¿ (wêglan potasu)
prag;praga
praktisch;praktyczny,nieteoretyczny,praktyczny,u¿yteczny,przydatny,praktyczny,zaradny,praktycznie,w³aœciwie,w zasadzie
praktizieren;praktykowaæ
präparat;preparat
praseodym;prazeodym (pierwiastek chemiczny)
präteritum;czas przesz³y,forma czasownika w czasie przesz³ym
prätor;pretor
prätorisch;pretorski
prätur;pretura
präzis;precyzyjny,precyzyjnie
präzise;precyzyjny,precyzyjnie
präzisieren;precyzowaæ,konkretyzowaæ
präzision;precyzja
preis;cena,nagroda
preisekiste;cennik
preisen;chwaliæ
preußen;prusy (kraina geograficzna),prusy (ksiêstwo,królestwo,prowincja
primitiv;prymitywny
prinz-edward-insel;wyspa ksiêcia edwarda
privat;prywatny,prywatnie
privatisierung;prywatyzacja
privileg;przywilej
privilegiert;uprzywilejowany
probe;próba,próbka
problem;problem,k³opot
produkt;produkt,iloczyn,produkt
produktion;produkcja,wytwarzanie
produktivität;produktywnoœæ
professionell;profesjonalny
professor;profesor
profi;zawodowiec
profiliert;profilowany
profit;zysk,profit
programm;program w telewizji,program komputerowy,program-wykaz
projekt;projekt
prolog;prolog
